NO.session	NO.video		topic.Name

1		(3,4,5)			basic installation,basic commands, unix-linux history.

2		(6,7)			understanding FHS, navigating the file-system.

3		(8,9)			filesystem-utilities.

4		(10,11,12)		basic user-group adminisration, basic permissions.

5		(13,14)			redirection.

6		(15)			understanding inodes, Filesystems.

7		(16,17)			disks and partations naming conventions.

8		(18)			creating and formating filesystems.

9		(19,20,21)		mounting filesystems, persistant mounting using FSTAB, 
					compressing and archiving files and directories.
					
10		(22,23)			process management and investigating.

11		(24,25,26,27)		searching and locating and extracting files, vim editor.

12		(47,48,49)		getting help-man pages, history viewing.


